"county","ward","onset"
"Kericho","Kisiara",2020-02-23
"Kakamega","Lubinu/Lusheya",2020-02-24
"Nakuru","Solai",2020-02-29
"Uasin Gishu","Tembelio",2020-03-04
"Machakos","Makutano/Mwala",2020-02-27
"Kakamega","Koyonzo",2020-02-22
"Kakamega","Idakho South",2020-02-23
"Nyeri","Iria-Ini",2020-02-25
"Kiambu","Kalimoni",2020-02-26
"Kakamega","Isukha South",2020-02-24
"Kiambu","Witeithie",2020-02-27
"Kiambu","Gitothua",2020-02-26
"Nyeri","Dedan Kimanthi",2020-02-24
"Uasin Gishu","Karuna/Meibeki",2020-03-24
"Kakamega","Kholera",2020-02-25
"Nyeri","Rugi",2020-02-27
"Nakuru","Sirikwa",2020-02-29
"Uasin Gishu","Ngenyilel",2020-02-26
"Kakamega","Lugari",2020-02-25
"Machakos","Kangundo West",2020-02-27
"Kakamega","Idakho East",2020-02-24
"Kericho","Kaplelartet",2020-02-22
"Nakuru","Kabatini",2020-02-26
"Machakos","Mumbuni North",2020-02-27
"Kiambu","Murera",2020-02-26
"Machakos","Kyeleni",2020-02-27
"Kiambu","Kijabe",2020-02-27
"Kiambu","Theta",2020-02-26
"Kericho","Kipchimchim",2020-02-24
"Nakuru","Amalo",2020-02-21
"Kakamega","Ingostse-Mathia",2020-02-24
"Machakos","Kibauni",2020-02-27
"Uasin Gishu","Megun",2020-03-01
"Kericho","Kedowa/Kimugul",2020-02-29
"Uasin Gishu","Tapsagoi",2020-02-26
"Meru","Mbeu",2020-02-26
"Meru","Akirang'Ondu",2020-03-17
"Kericho","Cheptororiet/Seretut",2020-02-23
"Nakuru","Lare",2020-02-26
"Kakamega","Bunyala West",2020-02-25
"Meru","Abogeta West",2020-02-25
"Meru","Akithii",2020-03-15
"Kakamega","Mahiakalo",2020-02-24
"Kiambu","Nachu",2020-02-27
"Nakuru","Bahati",2020-02-26
"Kakamega","Lumakanda",2020-02-26
"Kakamega","Namamali",2020-02-23
"Nakuru","Subukia",2020-02-26
"Uasin Gishu","Kiplombe",2020-02-28
"Uasin Gishu","Sergoit",2020-03-19
"Kiambu","Ngewa",2020-02-27
"Nyeri","Magutu",2020-02-19
"Kakamega","East Kabras",2020-02-25
"Kiambu","Ndarugu",2020-02-27
"Elgeyo Marakwet","Sengwer",2020-03-06
"Elgeyo Marakwet","Endo",2020-03-09
"Elgeyo Marakwet","Embobut /Embulot",2020-02-25
"Elgeyo Marakwet","Arror",2020-03-21
"Elgeyo Marakwet","Cherang'Any/Chebororwa",2020-03-10
"Elgeyo Marakwet","Lelan",2020-03-05
"Elgeyo Marakwet","Kapyego",2020-02-26
"Elgeyo Marakwet","Sambirir",2020-02-29
"Elgeyo Marakwet","Kapsowar",2020-03-18
"Elgeyo Marakwet","Moiben/Kuserwo",2020-03-24
"Elgeyo Marakwet","Kapchemutwa",2020-03-25
"Elgeyo Marakwet","Kamariny",2020-03-19
"Elgeyo Marakwet","Tambach",2020-03-25
"Elgeyo Marakwet","Soy North",2020-03-12
"Elgeyo Marakwet","Kaptarakwa",2020-03-11
"Elgeyo Marakwet","Kabiemit",2020-03-02
"Elgeyo Marakwet","Metkei",2020-03-02
"Elgeyo Marakwet","Soy South",2020-03-04
"Elgeyo Marakwet","Chepkorio",2020-03-07
"Nakuru","Soin",2020-02-29
"Nakuru","Kapkures",2020-02-28
"Kiambu","Ikinu",2020-02-27
"Kiambu","Kiuu",2020-02-24
"Kakamega","Kisa West",2020-02-23
"Machakos","Muvuti/Kiima-Kimwe",2020-02-27
"Machakos","Kathiani Central",2020-02-27
"Kiambu","Biashara",2020-02-26
"Trans Nzoia","Chepchoina",2020-03-04
"Trans Nzoia","Matumbei",2020-03-01
"Trans Nzoia","Kapomboi",2020-03-12
"Trans Nzoia","Keiyo",2020-03-17
"Trans Nzoia","Kwanza",2020-03-12
"Trans Nzoia","Motosiet",2020-03-14
"Trans Nzoia","Cherangany/Suwerwa",2020-03-08
"Trans Nzoia","Nabiswa",2020-02-26
"Trans Nzoia","Waitaluk",2020-02-26
"Trans Nzoia","Kiminini",2020-02-25
"Nyeri","Mweiga",2020-02-25
"Uasin Gishu","Tarakwa",2020-02-29
"Nyeri","Thegu River",2020-02-26
"Kiambu","Kinale",2020-02-26
"Machakos","Kalama",2020-02-27
"Machakos","Kola",2020-02-26
"Kiambu","Mwiki",2020-02-25
"Meru","Kibirichia",2020-02-25
"Meru","Municipality",2020-02-26
"Meru","Nyaki West",2020-02-26
"Meru","Njia",2020-03-23
"Meru","Karama",2020-03-24
"Meru","Kangeta",2020-03-24
"Meru","Maua",2020-02-24
"Meru","Athiru Ruujine",2020-03-07
"Meru","Igembe East",2020-03-18
"Meru","Akachiu",2020-02-29
"Meru","Kiegoi/Antubochiu",2020-03-03
"Meru","Kiguchwa",2020-03-18
"Meru","Mitunguu",2020-02-27
"Machakos","Machakos Central",2020-02-27
"Machakos","Upper Kaewa/Iveti",2020-02-27
"Machakos","Mutituni",2020-02-27
"Machakos","Kinanie",2020-02-27
"Machakos","Mua",2020-02-27
"Meru","Ntima West",2020-02-25
"Meru","Kanuni",2020-03-08
"Meru","Athiru Gaiti",2020-03-20
"Kiambu","Karai",2020-02-27
"Kiambu","Muguga",2020-02-27
"Kiambu","Limuru Central",2020-02-27
"Kiambu","Kahawa Sukari",2020-02-24
"Machakos","Mitaboni",2020-02-27
"Machakos","Lower Kaewa/Kaani",2020-02-27
"Meru","Ntima East",2020-02-26
"Meru","Nyaki East",2020-02-27
"Meru","Thangatha",2020-03-05
"Meru","Kiagu",2020-02-29
"Nakuru","Olkaria",2020-02-25
"Nakuru","Maai-Mahiu",2020-02-26
"Nakuru","Viwandani",2020-02-24
"Nakuru","Hells Gate",2020-02-24
"Nakuru","Naivasha East",2020-02-25
"Nakuru","Biashara",2020-02-25
"Nakuru","Kihingo",2020-02-26
"Nakuru","Kaptembwo",2020-02-28
"Nakuru","Kiamaina",2020-02-27
"Nakuru","Nessuit",2020-02-26
"Nakuru","Mariashoni",2020-02-28
"Nakuru","Tinet",2020-02-25
"Nakuru","Turi",2020-02-28
"Nakuru","Nyota",2020-02-28
"Nakuru","Elementaita",2020-02-26
"Nakuru","Maunarok",2020-02-25
"Nakuru","Njoro",2020-02-27
"Nakuru","Elburgon",2020-02-28
"Nakuru","Mosop",2020-02-29
"Uasin Gishu","Tarakwa",2020-02-28
"Uasin Gishu","Ainabkoi/Olare",2020-03-01
"Nakuru","Nakuru East",2020-02-25
"Nakuru","Kivumbini",2020-02-26
"Nakuru","Biashara",2020-02-27
"Nakuru","Shaabab",2020-02-28
"Nakuru","Flamingo",2020-02-28
"Nakuru","Barut",2020-02-27
"Nakuru","Lake Nakuru National Park",2020-02-26
"Nakuru","London",2020-02-28
"Nakuru","Menengai",2020-02-27
"Nakuru","Rhoda",2020-02-28
